MIDDLE ENGLISH MEDICAL VOCABULARY DATABASE
======================================================================

Total terms: 29107


HERBS:
----------------------------------------------------------------------
serue                        2,215 occurrences (partial_match)
kissede                          8 occurrences (partial_match)
disserueth                       8 occurrences (partial_match)
reisede                          8 occurrences (partial_match)
relefs                           8 occurrences (partial_match)
enclosede                        8 occurrences (partial_match)
borwede                          8 occurrences (partial_match)
strued                           8 occurrences (partial_match)
acursede                         8 occurrences (partial_match)
bilefte                          8 occurrences (partial_match)
herba                            8 occurrences (partial_match)
cherwell                         8 occurrences (partial_match)
crwel                            8 occurrences (partial_match)
sorwed                           8 occurrences (partial_match)
glosede                          8 occurrences (partial_match)
discussede                       8 occurrences (partial_match)
depressede                       8 occurrences (partial_match)
protecc                          8 occurrences (partial_match)
herberie                         8 occurrences (partial_match)
afterwer                         8 occurrences (partial_match)
carue                            8 occurrences (partial_match)
kerued                           8 occurrences (partial_match)
herburgh                         7 occurrences (partial_match)
wroote                           7 occurrences (partial_match)
desserued                        7 occurrences (partial_match)
spousage                         7 occurrences (partial_match)
lefly                            7 occurrences (partial_match)
walworth                         7 occurrences (partial_match)
reserueth                        7 occurrences (partial_match)
harwe                            7 occurrences (partial_match)
peruerte                         7 occurrences (partial_match)
dolefully                        7 occurrences (partial_match)
charwelle                        7 occurrences (partial_match)
flourynge                        7 occurrences (partial_match)
bilef                            7 occurrences (partial_match)
sedeur                           7 occurrences (partial_match)
brosede                          7 occurrences (partial_match)
merueilen                        7 occurrences (partial_match)
mesage                           7 occurrences (partial_match)
trespassede                      7 occurrences (partial_match)
purueiede                        7 occurrences (partial_match)
flourede                         7 occurrences (partial_match)
chisedech                        7 occurrences (partial_match)
flouren                          7 occurrences (partial_match)
calef                            7 occurrences (partial_match)
leeft                            7 occurrences (partial_match)
meruelously                      7 occurrences (partial_match)
flourid                          7 occurrences (partial_match)
vnpurueyed                       7 occurrences (partial_match)
refuseden                        7 occurrences (partial_match)
deseruedest                      7 occurrences (partial_match)
kerueth                          7 occurrences (partial_match)
obseruen                         7 occurrences (partial_match)
dressede                         7 occurrences (partial_match)
